sentence,label,Manual_Predictions
"', 'According to the encryption device, encryption method, decryption device, and decryption method of an aspect of the present invention, a pseudorandom number bit sequence is derived by substituting at least one out of a sum calculation or a product calculation for operations of the non-commutative matrices A1, A2 into a calculation method combining a plurality of operator types, repeatedly performing operations of the non-commutative matrices A1, A2 on a vector and performing a non-linear operation thereon, and calculating an exclusive logical sum between the obtained bit sequences W1, W2.",1,0
The writing unit may write the write data in the memory cell.,0,0
"Thus, the sustained-release pharmaceutical composition of the present invention is effective for maintaining prolonged dissolution (release) of hydromorphone hydrochloride or oxycodone hydrochloride hydrate contained therein from the duodenum through the small intestine to the lower gastrointestinal tract.",1,1
"On the other hand, if the length of the guide ring is too small, it is difficult to prevent the can-trunk from swelling and the like.",2,2
"13, which, when joined together, cause a leak in the glass layer in the glass fusing structure.",0,2
"', 'For example, the input power increases or decreases abruptly when the apparent impedance seen from the primary coil varies in the case where a malfunction occurs to a relay connecting a rectification section with a battery or the like, which is a load, and causes a sudden open-load condition, or in the case where a short-circuit breakdown or the like of the secondary coil occurs.",1,2
"', 'Further, there is no detailed disclosure in Patent Literature 2 as to how the hydraulic pump arranged in the nacelle and the hydraulic motor arranged at the bottom of the tower are connected.",2,2
"', 'The present invention is made in consideration of the above-mentioned circumstances and an object thereof is to enable a device controlling a printing apparatus to efficiently acquire information on a data form or the like applicable to the printing apparatus.",2,1
"', 'Furthermore, in the case where the configuration of the computer system is complicated, there is a possibility that, when the encryption key for a certain storage area is changed or deleted, data cannot be correctly decrypted unless the encryption keys of the other storage areas are also changed or deleted.",2,2
"', 'According to this configuration, the dividing unit, the right-side scan light generation unit, and the left-side scan light generation unit of the optical portion can be realized without trouble by using the prism having a diamond-shaped section.",0,0
"', 'The method of forming a PZT-based ferroelectric thin film according to the fourth aspect includes: coating a PZT-based ferroelectric thin film-forming composition, which contains a PZT precursor, on a lower electrode of a substrate once or twice or more; pre-baking the composition; and baking the composition to be crystallized and to form a PZT-based ferroelectric thin film on the lower electrode, in which the composition contains 105 mol to 115 mol of Pb with respect to 100 mol of a total amount of Ti and Zr contained in the composition, and the composition contains 015 mol to 0.50 mol of a high-molecular compound in terms of monomers with respect to 1 mol of the PZT precursor.",1,0
"', 'Embodiments have an advantage of providing a foreign object detection method capable of correcting path loss to detect a foreign object when a receiver in which a receive power strength is abnormal as compared to a transmit power strength is identified in a fixed frequency type wireless power transmitter, and an apparatus therefor.",1,1
"In the present invention, it is possible to improve the appearance, such as a color, of a resin molded product to be obtained, by managing pentaerythritol which is a raw material of a pentaerythritol mercaptocarboxylic acid ester so as to satisfy a specific absorbance.",1,1
"However, the methods such as those proposed in PTLs 6 and 7 could not solve the problem.",2,2
"', 'According to the embodiment of the present invention, the method may be arranged such that: in the step (a), the first node further divides the system bandwidth into a plurality of bandwidth parts; and in the step (b), the first node selects at least one of the bandwidth parts to form a subband set, assigns the subband set to the second node, and notifies the second node of information indicative of the at least one of the bandwidth parts.",0,0
The present invention enables the air permeability of porous ceramic to be maintained while generation of grinding debris due to friction with lenses is restrained.,1,1
"', 'By virtue of this, even when the continuous paper Z-folded and disposed in the paper feeding unit is conveyed, a constant tension is applied to the continuous paper.",1,1
"', 'The non-aqueous battery of the present invention provided with the positive electrode for a non-aqueous battery of the present invention has a high initial discharge capacity in a high temperature environment, and usually also has a stable charge-discharge cycle at high temperatures.",1,1
"', 'In one embodiment, the first TFT does not include the second gate electrode.",0,0
"', 'According to the above bloomed fiber material manufacturing method and apparatus, the tow is divided into a plurality of divided tows, and then the parting between the divided tows is cut.",0,0
"', 'Thirdly, it is able to minimize an effect on a terminal even when sponsored connectivity is not supported.",1,1
"', 'Additionally, the air conditioning system according to an embodiment of the present invention may transfer the same air volume in the cooling mode and the heating mode because the distance that the air cooled through the evaporator is transferred to a user and the air heated through the condenser is transferred to the user are equal.",1,1
The street view file downloaded from the image collection server may have a location attribute matching the geographic information included in the image acquisition request.,1,0
"As the angle becomes less than an angle of repose, a bridge of fixed carbon is likely to be generated in the cooling bath, and the fixed carbon tends not to allow smooth extraction at the fixed carbon extraction port in the lower portion, which is not desirable.",0,0
"In addition, a recording medium according to another aspect is a computer-readable recording medium which records the image generating program.",0,0
"In a conventional solid drawing material, a mixing ratio of oil has been increased so as to soften the solid drawing material.",1,1
"To display images that are different between hologram layers of respective personal verification media, hologram layers with different configurations have to be formed for the respective media.",2,0
The game device is configured to be usable in an independent use form in which the executing unit executes the game application and the rendering unit renders the game screen to cause the game to progress and a task processing form in which the executing unit processes a partial task of a game application executed in the portable terminal and transmits a processing result of the partial task to the portable terminal.,0,0
"Furthermore, in the attachment of the pillar trim, it is possible to ease the strength requirement and shape requirement set based on an assumption that it comes into contact with the airbag and diverts the deployment direction of the airbag.",1,1
"In addition, working efficiency of manufacturing a food packaging container, a clear case and the like can be improved.",1,1
"', 'Furthermore, it is preferable that the subject region identification unit be configured to identify, as the at least one cluster corresponding to the subject, a cluster having a blur with a size that is smaller than a threshold.",0,0
"The method includes: a first dummy electrode layer forming process of forming a layered lower memory gate insulating film and a layered charge storage layer in this order on a semiconductor substrate in the memory circuit region, and then stacking a layered first insulating film and a layered logic dummy electrode layer in this order on the charge storage layer in the memory circuit region and the semiconductor substrate in the peripheral circuit region; a dummy memory gate structure forming process of patterning the logic dummy electrode layer, the first insulating film, the charge storage layer, and the lower memory gate insulating film in the memory circuit region by using a patterned resist so that a dummy memory gate structure in which the lower memory gate insulating film, the charge storage layer, an upper memory gate insulating film, and a dummy memory gate electrode provided by patterning are stacked in this order is formed in the memory circuit region and the first insulating film and the logic dummy electrode layer to remain intact in the peripheral circuit region using the resist; a sidewall insulating film forming process of forming sidewall insulating films along facing sidewalls of the dummy memory gate structure in the memory circuit region; a second dummy electrode layer forming process of forming a layered second insulating film across the memory circuit region and the peripheral circuit region to form sidewall spacers composed of the sidewall insulating films and the second insulating film on the respective facing sidewalls of the dummy memory gate structure, stacking a layered memory dummy electrode layer on the second insulating film, and removing the memory dummy electrode layer and the second insulating film in this order in the peripheral circuit region by using a patterned resist so that the second insulating film and the memory dummy electrode layer remain in the memory circuit region; a dummy gate electrode forming process of patterning the logic dummy electrode layer and the first insulating film in the peripheral circuit region by using another patterned resist to form a dummy logic gate structure in which a dummy logic gate electrode is stacked on the semiconductor substrate through a logic gate insulating film, and etching back the memory dummy electrode layer and the second insulating film in the memory circuit region so that a sidewall-shaped dummy first select gate electrode is formed along one of the sidewall spacers of the dummy memory gate structure whereas the second insulating film remains below the dummy first select gate electrode to form a first select gate insulating film and a sidewall-shaped dummy second select gate electrode is formed along the other sidewall spacer of the dummy memory gate structure whereas the second insulating film remains below the dummy second select gate electrode to form a second select gate insulating film; an electrode exposing process of forming an interlayer insulating layer in the memory circuit region and the peripheral circuit region, and then processing the interlayer insulating layer to expose, on the interlayer insulating layer, top surfaces of the dummy memory gate electrode, the dummy first select gate electrode, the dummy second select gate electrode, and the dummy logic gate electrode; and a metal gate electrode forming process of removing the dummy memory gate electrode, the dummy first select gate electrode, the dummy second select gate electrode, and the dummy logic gate electrode, and then forming, in electrode formation spaces in which the dummy memory gate electrode, the dummy first select gate electrode, the dummy second select gate electrode, and the dummy logic gate electrode have been formed, a metal memory gate electrode, a metal first select gate electrode, a metal second select gate electrode, and a metal logic gate electrode each containing a metallic material.",0,0
"', 'In the tablet splitting apparatus according to the present invention (fifth solving means), the large-diameter turntable has a long narrow slit passing therethrough for blade insertion.",1,
The header part has a header partition member for partitioning the first space and the second space.,0,0
"The present invention solves the problem by the following:', '(1) A titanium alloy material containing, by mass %, Cu: 0.5 to 1.5%, Sn: 0.5 to 1.5%, Si: over 0.1% to 0.6%, O: 0.10% or less, Fe: 0.15% or less, and a balance of Ti and impurities, having the total of the contents of Cu and Sn of 1.4 to 2.7%, and having the sum of the volume rates of the β-phases and Ti—Cu and Ti—Si intermetallic compounds of 1.0% or less (below, referred to as the “Present Invention (1)”.",0,0
The controller controls the lid opening mechanism so that the needle is inserted to the expansion portion after the cut is formed in the lid of the bottle with the piercing portion.,0,0
"', 'In particular, the polyvinyl acetal resin is preferably a resin obtainable by acetalization of a polyvinyl alcohol having a degree of polymerization of 200 to 5000, and a degree of saponification of at least 80 mol %.",0,0
"', 'In an aspect of the present invention, in a case where it is determined that the new motion received by the receiving means is similar to the registered motion registered in the information processing means, the registration means may register the registered motion determined to be similar to the new motion in association with the new information.",0,0
The lubricant composition of the present invention is excellent in antiwear performance.,1,1
"Accordingly, it is possible to increase the amount of adjustment available to correct a misalignment between the pipe joint members when they are coupled together.",0,0
"', 'In accordance with the opening/closing body structure for a vehicle relating to the first aspect of the present invention, the mounting portion of the door lock mechanism at the door inner panel is reinforced by the first reinforcing body that is provided at the free end portion side of the opening/closing body.",0,0
"', 'The third aspect of the present invention exhibits the excellent advantageous effect of enabling collision load to be dispersed between the floor tunnel portion and the floor cross member.",1,1
"Consequently, the air bubbles are readily vented from the supply path for the processing liquid.",1,0
"', 'In order to operate all of a plurality of processor cores at the same time, tasks of at least a processor core number are needed.",2,0
"When the angles α, β are the same at any position in the horizontal cross-section, such flow is defined as a completely uniform flow of fluid.",2,0
"Further, the heat-insulating layer is exposed to cycles of the pressure variation for a long period.",2,0
"The composite material may include a coating layer that covers an end surface in a direction intersecting the stacking direction, and, in the step of removing the electrode, the electrode covering the top of the protruding portion and at least part of the coating layer may be removed.",0,0
"', 'According to second aspect of the invention as defined in claim 2, the incident light source can be provided easily.",1,1
"', '(10) Preferably, the start position is designated for the terminal through the RRC signaling.",0,0
This means that the amount of particulate matter which flows out from the particulate filter through the through holes is considerably large.,2,2
"', 'Furthermore, there are excellent effects in that the portable electronic moxibustion therapy device according to the present invention can be generalized as a medical instrument because a heat stimulus temperature and a heat stimulus time can be standardized and provided and the portable electronic moxibustion therapy device can be effectively used depending on symptoms in a specialized medical institution as well as by a common user because it is configured to select a heat stimulus temperature for each step, if necessary, and to perform treatment.",1,1
"Here, the metal other than copper is, for example, a metal containing molybdenum (Mo) and titanium (Ti).",0,0
"The present invention is a library device including a magazine which provides with a plurality of cells for storing a recording medium and an accessor which is positioned to a position facing a target cell in the magazine to pick up the recording medium from the cell or store the recording medium in the cell, wherein the accessor includes a first position correction means and a second position correction means for moving the accessor to a position facing a target cell and when the first position correction means fail to move the accessor at the position facing the target cell, the second position correction means move the accessor at the position facing the target cell.",0,0
Specific means for achieving the object include the following embodiments.,0,0
"', 'Further, the present invention facilitates expansion through connection of a plurality of adapter cards through an optical module.",1,1
"However, the known hinge 200 disclosed in PTL 1 has a complex configuration to make the hinge 200 to be invisible by inserting the hinge 200 in the main body part 201 including the keyboard when the display part 202 is in an open state.",2,2
"', 'In porous composites comprising OCP and collagen, no analysis that focuses on the relationship between agglomerated particles of OCP and uniform dispersion has been heretofore performed.",2,2
"The dehumidifying apparatus according to the present invention is capable of controlling the amount of heating in the first heat exchanger, the second heat exchanger, and the third heat exchanger.",1,1
"The login controller includes a login authentication unit configured to allow a user to log in by identifying an account of the user through authentication by use of the user information held in the registered user information holding unit, and an account granting unit configured to grant a temporary account to the user not authenticated by the login authentication unit.",0,0
"The liquid crystal display device according to the present disclosure is capable of increasing a light deflection angle, suppressing deterioration of image quality of images displayed on a liquid crystal panel.",1,1
"', 'If the VAD is used to reproduce a plurality of virtual speakers, the same effect as Ambisonics in a speaker array system including a large number of speakers difficult in reality can be realized by the headphone presentation.",2,2
"', 'Apart from tuning of the foaming ratio, the tension of the band (41) consisting of a flexible material can be adjusted freely as any times as desired.",1,1
"According to the invention, it is possible to provide an all-solid-state capacitor capable of achieving a high capacitance and downsizing and having small capacitance frequency dependence.",1,1
"', 'As a new embodiment of the present invention, a metal arc cut-off member may be disposed in the arc extinguishing space.",1,0
"', 'Furthermore, because the operation of dehydrating the gas hydrate slurry is conducted along with the above-mentioned process, the efficiency with which gas hydrate is produced is further enhanced.",1,1
"Then, heat generation can be suppressed as much as possible.",1,1
The work implement includes a boom and an arm attached to the boom.,0,0
"For example, Patent Literature 1 discloses a technique regarding a wire-electrode automatic threading function, and describes the straightening treatment on the wire electrode.",2,0
"', 'Accordingly, an objective of the present disclosure is to provide a plasma etching method that can sufficiently inhibit faceting during plasma etching of a silicon oxide film.",2,1
"This invention is able to realize an optical scanning device that reduces the amount of color deviation caused by thermal expansion of a casing, even in a case where a material having a high thermal expansion coefficient is used for the casing.",1,1
"By the second conventional technology, each time the computer accesses the logical volumes, it is required to inquire of the management apparatus.",2,2
"For example, when the electric vehicle operates in a manned driving mode, a high accuracy of initial charging operation is necessary, and thus, the hardware type condenser charging circuit is appropriate.",1,1
"', 'According to such a configuration, stable amplitude of a high-speed burst optical signal can be monitored without particularly significant addition of a circuit.",0,0
"', 'On the other hand, according to the buoyancy compensator disclosed in Patent Literature 2, a scuba diver can drop the weight by operating a support handle that links part of the pocket to the vest and orienting the opening of the pocket toward the lower side.",2,0
"However, the gas is also applied to a piston mechanism using air as a working gas.",0,0
"', '(1) An electrode comprising a three-dimensional network aluminum porous body as a base material, wherein the electrode is a sheet-shaped electrode; and the three-dimensional network aluminum porous body has an elliptic shaped cell having a minor axis in a thickness direction of the electrode in a cross section parallel to a longitudinal direction and the thickness direction of the electrode; and the three-dimensional network aluminum porous body has an elliptic shaped cell having a minor axis in the thickness direction of the electrode in a cross section parallel to a width direction and the thickness direction of the electrode.",0,0
"The present invention can provide a surgical instrument and a joint of a robot arm of the surgical instrument, by each of which at least one of problems of conventional arts is solved.",1,1
"Even after tested in fatigue by bending, it has excellent stability and undergoes a small change in resistance.",1,1
25 is a plan view illustrating directions in which the sealing resin 307 of the semiconductor device 320 is fitted into the connector 340 illustrated in FIG.,2,0
"Therefore, according to the present invention, the absorbent can be used without loss.",0,1
"However, to coat the surface of a sintered R-T-B based magnet body with a deposited film of a rare-earth element with a low vapor pressure such as Dy or Tb, the rare-earth metal should be heated selectively to high temperatures by performing an inductive heating process using an RF heating coil.",2,0
"The method includes detecting a physical downlink control channel (PDCCH) on which control information is transmitted in a first subframe, and receiving data in at least one second subframe based on the control information.",0,0
An aspect of the present invention brings about the effect of preventing defects in a film roll.,1,1
"In this way, it is possible for this bodily fluid absorbent core to absorb bodily fluids through the peripheral walls of the one or more elongated depressions.",1,1
"', 'That is, when the first member and the second member are bonded together by appropriately applying a pressure, a pressure is applied to the optical fiber from both directions associated with the first member and the second member.",0,0
"According to an embodiment of the present technology, the plurality of wireless communication apparatuses are appropriately grouped highly effectively.",1,1
"', 'In the air-conditioning ventilator according to the tenth aspect, it is possible to avoid instances wherein cold air flows through the bypass channel from the ventilation unit to the air-conditioning unit.",1,1
"', 'When the activated carbon fiber fabric is manufactured by activating the filament web type precursor fabric for an activated carbon fiber fabric of the present invention, durability and crystallinity of yarns forming the precursor fabric may become higher and uniform while improving a performance of forming microfine pores having a diameter of 1 to 2 nm, which are easy for hydrogen storage and removal of air pollutants.",1,1
"', '(Operation and Effect)', 'After the temperature of the flue gas at an inlet of the turbocharger attains the predetermined value, the supply of the combustion air from the start-up blower via the turbocharger to the pressurized fluidized bed incinerator is started.",0,0
"Accordingly, since there occurs a gas flow heading from the side end part to the pump cell center part, a gas flow-agitating effect can be obtained.",1,1
"According to an aspect of the present invention, there is provided a method for performing a handover from a first base station to a second base station by a user equipment that is performing radio communication over a communication channel formed by aggregating a plurality of component carriers.",0,0
"Meanwhile, the second reservoir 6 heats up a solution containing 1-80 mass % of organic acid having a carboxyl group (—COOH) therein.",0,0
"', 'Since a single pressing member and a single rotation limiting unit are used to simultaneously adjust rotation of a plurality of rotating members, withdrawal of the plurality of x-ray detectors stored in the plurality of slots adjacent to each other can be separately limited.",1,1
"Since the aqueous coating agent of the present invention can form a film having excellent corrosion resistance and being capable of preventing the generation of rust or the like from such metal substrates, it can be suitably used for various articles, such as building members, such as outer walls and roofs, civil engineering members, such as guardrails, soundproof walls, and drain ditches, home electric appliances, industrial machines, and automobile exterior materials.",1,1
The uplink power control-related parameters include at least a filtering coefficient.,0,0
"In addition, since the temperature of the cooling water rises toward the downstream side, there is also a problem that cooling efficiency of the cylinder on the downstream side lowers.",2,2
"Further, precision of the outer diameter or the rotation center of the rotor portion is improved.",1,1
"By using the manufacturing method, a thick side in the base coating portion is positioned on the opening side.",0,0
"Therefore, according to the method for evaluation testing of a material for an internal combustion engine of the present invention, the ease of the formation of particles (or the difficulty of the formation of particles) on a surface of a sample composed of a nickel-based metal can be evaluated by using simple equipment instead of an engine for testing.",0,1
"If the content of the B2O3 component in the composition of glass is less than 13 mass %, it sometimes becomes difficult to control the temperature of molten glass corresponding to 103.0 dPa·s, which is a spinning temperature, to less than 1,300° C. at which sufficient spinnability can be secured, while the dielectric constant of glass is being maintained at 6.0 or less.",0,0
"', 'The inventors of the present application recognized that low-temperature output characteristics may not only be improved but high-temperature cycle characteristics, output characteristics after high-temperature storage, and swelling characteristics may also be improved in a case where an electrolyte solution for a lithium secondary battery includes a plurality of specific additives, thereby leading to completion of the present invention.",2,1
"', 'In addition, the present invention is advantageous in that efficient electrical energy conversion is possible without separately applying external power.",1,1
"', 'According to the sound-absorbing material of the present invention, the fillers dispersed in the resin film of the sound-absorbing membrane receive a pressure during pressing, which can provide suppressed deterioration in appearance quality while providing suitable sound absorbing performance.",1,1
"The correction information retaining unit may retain, as the correction information, a correction vector for correcting distortion of the display image caused by an amount of shift of an interpolation position that is obtained by interpolating the interval of the stepwise adjustment position by the eye interval adjusting mechanism.",0,0
The lower limit value of the effective dielectric constant of the above-mentioned foamed insulating layer is not specifically limited and is generally 1.1 or more.,1,0
"', 'The partition member may include a limit passage which is provided independently from the intermediate chamber, the first communication passage, and the second communication passage, and communicates with the first liquid chamber and the second liquid chamber.",0,0
"', 'Further, it is desirable that the simple drive assisting information has an amount of information suppressed compared to the drive assisting information required for the drive assisting control associated with the non-immediate intersection, and static information is calculated at the non-immediate intersection.",0,0
"', 'Accordingly, an object of the present invention is to provide a conversion program search system, a conversion program search method, and a conversion program search program that can increase the reusability of conversion modules (conversion programs) as well as can find a solution to a data connection problem in a short time.",2,1
"The method includes injecting melted metallic sodium into a cylinder having a larger diameter than an inner diameter of the hollow area of the engine valve, forming a solidified metallic sodium rod having substantially uniform structure in the cylinder, inserting the metallic sodium rod into the hollow area of the engine valve through a nozzle shaped die having a small diameter with an extruding mechanism while keeping the uniform structure of the metallic sodium rod, cutting the metallic sodium rod; and sealing the engine valve.",0,0
"However, this technique involves neutron radiation several times while changing the neutron energy.",2,0
"', 'The present invention was made in view of the above-described circumstances, and an object of the present invention is to provide a centrifugal fan in which air blowing efficiency can be improved while an increase of operational sound is suppressed.",2,1
"', 'An antinuclear antibody image analysis method according to the present invention includes: calculating luminance of a cell nucleus extracted from an antinuclear antibody image of a designated dilution ratio; and predicting an antinuclear antibody titer, using a staining pattern specified from a staining form of the cell nucleus and the luminance at at least one dilution ratio.",0,0
"', 'The protrusion part may have an annular shape surrounding the entire periphery of the microneedle array.",0,0
"An information processing apparatus according to an embodiment of the present disclosure includes:', 'a processor capable of executing IP facsimile communication and a job other than the IP facsimile communication, a facsimile tone signal being transmitted/received as audio data in the IP facsimile communication;', 'a storage that stores a first level or a second level, the first level or the second level representing a mode for the processor to execute the IP facsimile communication; and', 'a control unit that",0,0
"', 'Further, conventional techniques have difficulty in determining in which information a user is interested among a plurality of pieces of information displayed in a web page.",2,2
"According to the present invention, the specific column, in which a printing quality of the corrugated fiberboard is less influenced, is set based on the order information of the corrugated fiberboard, and approaching of the corrugated fiberboard within the predetermined distance against the inkjet head is regulated in the specific column.",1,1
"A method of providing marketable securities issuing service and a marketable securities issuing service system used in the method of providing marketable securities issuing service according to an exemplary embodiment of the present inventive concepts can immediately print (issue, ticket, or output) afterward printing information (for example, a plurality of issuers, a plurality of face values, and/or use registration numbers) desired by marketable securities buyers in the afterward printing areas of marketable securities (for example, paper gift vouchers or cashier\'s checks) sheets including beforehand printing information printed in the beforehand printing areas using a printing apparatus in a place equipped with a computing device and the printing apparatus.",1,0
"', 'According to a second aspect of the present invention, in the in-vehicle surrounding environment recognition device of the first aspect, it is preferred that the warning prevention adjustment unit adjusts a level of suppression of output of the warning signal by changing a condition for the reflection determination unit to determine upon the presence or absence of the reflection of the background object from the road surface, according to the relative speed of the other vehicle.",0,0
"', 'In the prior art described in PTL 1, one end of a resistor provided in the snubber circuit is connected to an output side of the rectifier via a diode, and another end is connected to a load.",2,0
"Therefore, there is a problem that a production process of the wiring harness is restricted.",2,2
"Typically, both of a foam thermal insulation material and a fibrous thermal insulation material are very soft, and are not suitable for being precisely molded into a particular shape, and are difficult to arrange in a particular position with high accuracy.",2,2
"', '(1) The load addition pattern portion P is integral with the tubular cover portion 2 which covers the part Hc of the human body and which elastically expands and contracts, and thus the configuration of an independent special tool is not needed, with the result that it is possible to remove disadvantages produced because the special tool is independent.",1,1
"', 'However, it is difficult for a conventional positive-type photosensitive resin composition to form a photosensitive layer simultaneously satisfying the developing solution resistance of unexposed portions and the developability of exposed portions in the repeated development.",2,2
"', 'A second mode of this invention relates to a data intermediary apparatus configured to perform communication, via a network, between a sensor management apparatus that manages sensing data output from a sensor and a user-side apparatus that is used by a user of sensing data.",0,0
"Specifically, according to one embodiment of the present invention, there is provided a multifunctional lubricant composition, comprising, with respect to 100 parts by mass of phosphorus compound (A) represented by the following general formula (1), 26 parts by mass to 43 parts by mass of phosphorus compound (B) represented by the following general formula (2), 0 parts by mass to 1.3 parts by mass of phosphorus compound (C) represented by the following general formula (3), and a total of 0 parts by mass to 1.3 parts by mass of triphenyl phosphate and tricresyl phosphate.",0,0
"Accordingly, the first electric rotating machine can be made compact by reducing its capacity, which can make the drive system of the hybrid vehicle compact.",1,1
"Another object of the present invention is to provide a method for detecting a cancer which involves determining the presence and the amount of CAPRIN-1 in a sample of a cancer patient in order to determine the administration of a CAPRIN-1-targeting drug to the cancer patient, and a drug and a kit for the diagnosis of a cancer.",2,0
"', 'Therefore, as in the gas turbine cooling air system drying device of the present invention, by connecting the drying air system to the cooling air system on the turbine side of the heat exchanger, a greater quantity of drying air can flow to the heat exchanger, and it is possible to rapidly reduce the humidity within the heat exchanger, so the occurrence of corrosion within the heat exchanger can be reduced.",0,1
"When uplink communication and downlink communication are simultaneously performed between different component carriers in the same frequency band, a terminal in downlink communication receives large interference from a terminal carrying out uplink communication.",2,2
"', 'Accordingly, such a silicone gel composition of the present invention can be suitably used for protecting electronic components such as an onboard electronic component and an electronic component for consumer use.",1,1
"', 'In impregnating the resin into the reinforced fiber base material, a plurality of the injection ports may be arranged such that the injection ports are scattered in the sheet lamination direction, and among the plurality of the injection ports, after injection of the resin from the injection ports provided below both end portions of the reinforced fiber base material in the sheet lamination direction has been started, injection of the resin from the remaining injection port or the remaining injection ports may be started.",0,0
"That is, in UE-SS a terminal needs to perform blind decoding further sixteen times, and therefore the terminal needs to perform blind decoding forty-eight times in total.",2,2
"Additionally, deposit of foreign matter such as dust between the optical components is prevented.",1,1
This configuration makes it easy to recognize the connectors and fixtures on an actual wire harness module.,1,1
"', 'By the above method, in the forming, the first voltage pulse for the forming is applied, and if the forming is not successful, the new first voltage pulse is further applied.",0,0
"(2) The blood component separation device described in (1) is preferably configured to perform (d) blood returning step for returning blood components, remaining after collecting a predetermined amount of the second blood component in the circulation/acceleration step, to the donor.",0,0
"', 'A fourth aspect of the present invention is a method of manufacturing a continuous-cast slab, the method comprising: a first step of forming a first reduction dent at least in one long side surface of the continuous-cast slab by carrying out reduction with first reduction rolls on the continuous-cast slab, the continuous-cast slab being 0.1 to 0.3 in ratio D/W, the ratio D/W being a ratio of casting thickness D to casting width W, and 230 to 380 mm in casting thickness D, the continuous-cast slab having a horizontally symmetrical granular equiaxed crystals at least in a center in a thickness direction; and a second step of forming a second reduction dent that is narrower than the first reduction dent by carrying out further reduction on a bottom surface of the first reduction dent with second reduction rolls that are narrower than the first reduction rolls, wherein in the first step, the reduction is carried out on the continuous-cast slab so that a dent rate of the first reduction dent from an end surface of the continuous-cast slab, to the casting thickness D is 0.03 to 0.36%, and in the second step, the reduction is carried out on the continuous-cast slab so that a dent rate of the second reduction dent from the bottom surface of the first reduction dent, to the casting thickness D is 0.6 to 4%.",0,0
"', 'In accordance with this configuration, it becomes possible to prevent a situation in which the cooled target is cooled excessively and thereby the operation performance of the cooled target is degraded.",0,2
"', 'In yet another aspect, a communication gateway includes a home base station for receiving a data communication request from a mobile device associated with a radio network, where the data communication request indicates type of communication.",0,0
The N M-dimensional vectors are arranged so that the number of times of a change in the M elements of each of the N M-dimensional vectors between an increase and a decrease in value in the transverse direction monotonously changes in the longitudinal direction and so that the M elements are arranged in an order of a frequency which increases and decreases in the transverse direction.,0,0
The above-mentioned hard timing constraint (n+X) can thus be changed into a minimum requirement that SCell activation/deactivation shall apply no later than subframe n+X.,1,0
The thickness of the metal layer may be greater than or equal to 1 μm and less than or equal to 30 μm.,0,0
"Furthermore, the delay for transmission of configurations still must be optimized in view of the low bandwidth configurations of 1.25 MHz and 2.5 MHz.",2,2
"As a result of extensive and intensive research and study, the inventors of the present invention have synthesized an oxazole hydroxamic acid derivative and a pharmaceutically useful salt thereof, which are capable of inhibiting activity of histone deacetylase, and have found that the oxazole derivative thus prepared has anti-cancer activity as well as therapeutic and prophylactic effects on a variety of diseases.",2,0
"For example, if the band (41) consisting of a flexible material is in the loosest state, it can be placed as it is on the irregular surface (3t) of the cushion pan (3).",1,0
"Particularly, in a case where the image sticking is generated due to a change in pretilt angle, such a change is generated in a significantly complicated manner due to, probably, a plurality of causes.",2,2
"That is, in a vacuum deposition method, it is necessary to appropriately adjust an amount of film forming vapor discharged through a discharge opening per unit time.",0,0
"As a result, the current interrupt device can activate rapidly.",0,0
"', 'In a case in which the recording apparatus is configured in this manner, since the ink tube is hooked onto the protrusion of the side of the wall portion of the second tray member, it is possible to perform positioning of the ink tube and changing of the direction in which the ink tube is drawn out using the protrusion.",0,0
"', 'On the other hand, although the colored metallic pigment proposed in PTDs 7 and 8 is stable in a water-based paint or water-based ink, since the development of color is based on interference action of light rays in each layer, there is such a problem that it is impossible for it to provide a color tone as vivid as that provided by the colored metallic pigment proposed in each of PTDs 1 to 6 and the color phase thereof is also limited.",2,2
"', 'As for a barometer of downsizing an image pickup lens, the present invention is aimed to achieve a downsizing at a level satisfying the following expression.",2,0
"', 'Accordingly, an objective of the present disclosure is to provide a 1,3-butadiene separation and recovery method that can reduce the amount of 1,3-butadiene polymer that is produced during separation and recovery of 1,3-butadiene from a mixed fluid containing 1,3-butadiene, and a 1,3-butadiene separation and recovery apparatus.",2,0
"Therefore, it is very important to determine the degree of collapse of swollen gel particles in order to predict the functions of the water-absorbing resin.",1,0
"', 'Furthermore, light in the red color region is generated by the red fluorescent material, which is excited by light generated by the semiconductor light-emitting element.",0,0
"', 'According to another feature of the present invention, a digital camera is provided, which has: an image pickup auxiliary light source that includes a plurality of light emitting diodes; an electric double-layer capacitor that supplies electric power to the plurality of light emitting diodes; a zoom lens; and an illumination control portion that changes light distribution of the image pickup auxiliary light source in accordance with a focal distance of the zoom lens.",0,0
Negative impact a natural person having multiple accounts may produce on friend recommendation is eliminated while avoiding waste of system resources for performing friend recommendation.,1,0
"Thus, the locked state can be easily released by the release member by means of the knob part.",0,0
Keeping the microorganisms between the electrodes for a long time is thus considered to result in higher killing efficiency.,2,1
"In the ultra-shallow junction Mex, since the box-like dopant profile shown in FIG.",0,0
"By providing the first radio-wave-propagation-direction suppression-area in the base plate and the second radio-wave-propagation-direction suppression-area in the suppression plate and by making the gap between the areas have a space structure varied in a plurality of steps, the value of the characteristic impedance created by the first radio-wave-propagation-direction suppression-area in the root-side step in the suppression plate faced to the base plate having the plural-step structure is made larger than the value of the characteristic impedance created by the second radio-wave-propagation-direction suppression-area in the tip-end side step.",0,0
